Language,original
str_cfgvehicles_highcapacityvest_colorbase1,A tactical vest designed to hold as much gear as possible while maintaining full mobility.
str_cfgvehicles_highcapacityvest_colorbase0,Tactical Vest
str_cfgvehicles_highcapacityvest_black0,"$UNT$A black coloured tactical vest designed to hold as much gear as possible while being comfortable to move in all possible ways when wearing it. Doesn't offer much protection, but is very convenient."
str_cfgvehicles_chestholster1,"A leather pistol holster that is worn around the shoulders, placing the pistol on the chest."
str_cfgvehicles_chestholster0,Chest Holster
str_cfgvehicles_carrierholstersolo1,"A pistol holster, attachable to plate carrier vest. Provides a convenient way to store your pistol."
str_cfgvehicles_carrierholstersolo0,Holster
str_cfgvehicles_ballisticvest1,"$UNT$A lightweight, hard-plate reinforced vest offering full torso protection that is able to absorb impact from both small calibre projectiles, fragments and knife attacks."
str_cfgvehicles_ballisticvest0,$UNT$Ballistic vest
str_cfgvehicles_huntingvest0,Hunter Vest
str_cfgvehicles_huntingvest1,"Light sleeveless vest, used by hunters. Offers little protection, but has pockets. Does not limit your movement."
str_cfgvehicles_reflexvest0,Reflective Vest
str_cfgvehicles_reflexvest1,"Safety vest, often used by road workers. It is useful, if you wish to be seen from afar."
str_cfgvehicles_leatherbelt_colorbase1,$UNT$nothing here
str_cfgvehicles_leatherbelt_colorbase0,$UNT$Leather Belt
str_cfgvehicles_xmaslights1,A string with colorful electric lights. Can be hung around for that special festive look.
str_cfgvehicles_xmaslights0,Xmas Lights
str_cfgvehicles_watchtower1,Extendable watchtower. Can contain multiple floors to provide height advantage.
str_cfgvehicles_watchtower0,Watchtower
str_cfgvehicles_undergroundstash0,$UNT$Underground stash
str_cfgvehicles_spotlight1,Deployable light source. Needs to be powered beforehand. Consumes a lot of energy.
str_cfgvehicles_spotlight0,Construction Light
str_cfgvehicles_seachest1,"A spacious storage box. Quite heavy, but seems to be durable."
str_cfgvehicles_seachest0,Sea Chest
str_cfgvehicles_refridgerator1,$UNT$Refridgerator keeps your food fresh and protects you from atomic explosions.
str_cfgvehicles_refridgerator0,$UNT$Refridgerator
str_cfgvehicles_powergenerator1,Portable gasoline-powered generator. Provides enough electricity to power a small home for as long as the fuel lasts.
str_cfgvehicles_powergenerator0,Power Generator
str_cfgvehicles_partytent1,"A canopy, often seen at farmers' markets. With some camouflage, it makes for a decent hideout."
str_cfgvehicles_partytent0,Canopy Tent
str_cfgvehicles_mediumtent1,"A camping tent. Offers a comfortable and dry space, with additional storage space."
str_cfgvehicles_mediumtent0,Medium Tent
str_cfgvehicles_largetent1,"A large military tent. It can house a small unit, along with its equipment."
str_cfgvehicles_largetent0,Large Tent
str_cfgvehicles_improvisedshelterpitched1,$UNT$Improvised tent 1...
str_cfgvehicles_improvisedshelterpitched0,$UNT$Improvised tent 1
str_cfgvehicles_hescobox1,"Portable barrier that can be relatively easily deployed and filled with soil or gravel, creating durable fortification."
str_cfgvehicles_hescobox0,Wire Mesh Barrier
str_cfgvehicles_fence1,Extendable fence. One of the key elements of enclosing an area.
str_cfgvehicles_fence0,Fence
str_cfgvehicles_fencekit1,Used to plot the position of a fence and its layout.
str_cfgvehicles_cartent1,"A large tent, spacious enough to shelter a parked vehicle or a pile of equipment. "
str_cfgvehicles_fencekit0,Fence Kit
str_cfgvehicles_cartent0,Car Tent
str_cfgvehicles_camonetshelter1,$UNT$A packed camo net shelter.
str_cfgvehicles_camonetshelter0,$UNT$Camo net shelter
str_cfgvehicles_camonet1,"Camo net, standard military issue. Can be used to mask your base structures, or even to craft a shelter to serve as a temporary hideout."
str_cfgvehicles_camonet0,Camo Net
str_cfgvehicles_cablereel1,"A spool of electrical wire with sockets and plugs, used to connect various electrical components."
str_cfgvehicles_cablereel0,Cable Reel
str_cfgvehicles_batterycharger1,Used to charge truck or car batteries when plugged into running electric grid.
str_cfgvehicles_batterycharger0,Battery Charger
str_cfgvehicles_barbedwire1,"A roll of barbed wire. Can be used for various trap crafting, you can even use it to tie somebody down. Not that you'd want to!"
str_cfgvehicles_barbedwire0,Barbed Wire
str_cfgvehicles_advancedimprovisedshelterpitched1,$UNT$Improvised tent 2...
str_cfgvehicles_advancedimprovisedshelterpitched0,$UNT$Improvised tent 2
str_attachment_camonet0,Camo Net
str_attachment_xmaslights0,Xmas Lights
str_cfgvehicles_watchtowerkit0,Watchtower Kit
str_cfgvehicles_watchtowerkit1,Used to plot the position of a watchtower and its layout.
str_cfgvehicles_construction_part_base,Base
str_cfgvehicles_construction_part_floor_base,Floor
str_cfgvehicles_construction_part_platform,Platform
str_cfgvehicles_construction_part_platform_stairs_left,Left Stairs
str_cfgvehicles_construction_part_platform_stairs_right,Right Stairs
str_cfgvehicles_construction_part_base_down,Lower Frame
str_cfgvehicles_construction_part_base_up,Upper Frame
str_cfgvehicles_construction_part_gate,Gate
str_cfgvehicles_construction_part_wood_down,Lower Wooden Wall
str_cfgvehicles_construction_part_wood_up,Upper Wooden Wall
str_cfgvehicles_construction_part_metal_down,Lower Metal Wall
str_cfgvehicles_construction_part_metal_up,Upper Metal Wall
str_cfgvehicles_construction_part_roof,Roof
str_cfgvehicles_construction_part_stairs,Stairs
str_cfgvehicles_fence_att_category_base,Base
str_cfgvehicles_fence_att_category_attachments,Attachments
str_cfgvehicles_fence_att_category_materials,Materials
str_cfgvehicles_watchtower_att_category_level_1_base,Base 1F
str_cfgvehicles_watchtower_att_category_level_1_wall_1,Upgrade Left 1F
str_cfgvehicles_watchtower_att_category_level_1_wall_2,Upgrade Front 1F
str_cfgvehicles_watchtower_att_category_level_1_wall_3,Upgrade Right 1F
str_cfgvehicles_watchtower_att_category_level_2_base,Base 2F
str_cfgvehicles_watchtower_att_category_level_2_wall_1,Upgrade Left 2F
str_cfgvehicles_watchtower_att_category_level_2_wall_2,Upgrade Front 2F
str_cfgvehicles_watchtower_att_category_level_2_wall_3,Upgrade Right 2F
str_cfgvehicles_watchtower_att_category_level_3_base,Base 3F
str_cfgvehicles_watchtower_att_category_level_3_wall_1,Upgrade Left 3F
str_cfgvehicles_watchtower_att_category_level_3_wall_2,Upgrade Front 3F
str_cfgvehicles_watchtower_att_category_level_3_wall_3,Upgrade Right 3F
str_cfgvehicles_barbedwirelocked0,Restrained by Barbed Wire
str_cfgvehicles_combinationlock0,Combination Lock
str_cfgvehicles_combinationlock1,A multi-dial combination lock with a chain long enough for wooden logs of constructed gates.
str_cfgvehicles_woodenplank1,"Wooden plank, used for any serious construction. Some tools and nails would also help."
str_cfgvehicles_woodenplank0,Plank
str_cfgvehicles_woodenlog1,Long and heavy wooden log that has been limbed. Good for any serious construction effort.
str_cfgvehicles_woodenlog0,Wooden log
str_cfgvehicles_tannedleather1,A piece of tanned leather. Making any leather item is impossible without it.
str_cfgvehicles_tannedleather0,Tanned Leather
str_cfgvehicles_stone1,"Relatively heavy stone, can be used for enclosure fireplace, or broken into smaller parts."
str_cfgvehicles_stone0,Large Stone
str_cfgvehicles_wolfpelt1,Pelt from a wolf. Can be tanned for further processing.
str_cfgvehicles_spraycan_green0,$UNT$A green semi-gloss aerosol paint spraypaint. Contents under pressure!
str_cfgvehicles_wildboarpelt1,Pelt from a wild boar. Can be tanned for further processing.
str_cfgvehicles_spraycan_colorbase1,$UNT$A semi-gloss aerosol paint spraycan. Contents under pressure!
str_cfgvehicles_spraycan_colorbase0,$UNT$Spraypaint
str_cfgvehicles_spraycan_black0,$UNT$A black semi-gloss aerosol paint spraypaint. Contents under pressure!
str_cfgvehicles_smallstone1,"Smooth fragment of rock, usually thrown to distract someone or make primitive knives."
str_cfgvehicles_smallstone0,Small Stone
str_cfgvehicles_smallgascanister0,Small Gas Canister
str_cfgvehicles_roadflare1,"An emergency flare. Burns with red light, bright enough to light the surroundings at night. Can also be used to light fires or for communication."
str_cfgvehicles_roadflare0,Road Flare
str_cfgvehicles_rag_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_rag_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_rag1,"Roughly cut piece of cloth. Useful for creating items or bandaging wounds, preferably when they are clean."
str_cfgvehicles_rag0,Rag
str_cfgvehicles_rabbitpelt0,$UNT$Skin from a rabbit.
str_cfgvehicles_pileofwoodenplanks1,"A pile of long wooden planks. They have been laying idle, just waiting for a chance to be used."
str_cfgvehicles_pileofwoodenplanks0,Lumber Pile
str_cfgvehicles_pelt_base0,$UNT$Pelt
str_cfgvehicles_paper1,"Sheet of paper, can be used as kindling or for writing, among other things."
str_cfgvehicles_paper0,Paper
str_cfgvehicles_netting1,Netting with small spaces between yarn. Used to make fishnet or make a base for camouflage.
str_cfgvehicles_netting0,Netting
str_cfgvehicles_nailbox1,A box of 16d-sized nails.
str_cfgvehicles_nailbox0,Boxed Nails
str_cfgvehicles_nail1,"16d-sized nails. What you do with them is anybody's guess, but they are a necessity for any serious construction effort."
str_cfgvehicles_sheeppelt1,Pelt from a sheep. Can be tanned for further processing.
str_cfgvehicles_nail0,Nails
str_cfgvehicles_mouflonpelt0,$UNT$Skin from a mouflon.
str_cfgvehicles_metalplate1,"Metal sheets, great if you need to do some serious building, otherwise not that useful."
str_cfgvehicles_metalplate0,Sheet Metal
str_cfgvehicles_mediumgascanister0,Medium Gas Canister
str_cfgvehicles_matchbox1,A box of long kitchen safety matches. Store in dry place and keep away from children.
str_cfgvehicles_matchbox0,Matches
str_cfgvehicles_largegascanister0,Large Gas Canister
str_cfgvehicles_hook1,"$UNT$A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish."
str_cfgvehicles_hook0,$UNT$Fishing Hook
str_cfgvehicles_gardenlime1,A bag of garden lime. Useful fertilizer to speed up growth and to boost crops or leather tanning agent.
str_cfgvehicles_gardenlime0,Garden Lime
str_cfgvehicles_foxpelt0,$UNT$Skin from a fox.
str_cfgvehicles_flashbang_useractions_turnon1,$UNT$Light Flare
str_cfgvehicles_flashbang_useractions_turnon0,$UNT$Light Flare
str_cfgvehicles_flashbang1,$UNT$Flashbang
str_cfgvehicles_flashbang0,$UNT$Flashbang
str_cfgvehicles_firewood1,Ordinary firewood which produces a lot of heat when fed to a fireplace. Can be split into smaller parts.
str_cfgvehicles_pigpelt1,Pelt from a pig. Can be tanned for further processing.
str_cfgvehicles_firewood0,Firewood
str_cfgvehicles_ducttape_useractions_restraintarget1,$UNT$Tie up
str_cfgvehicles_ducttape_useractions_restraintarget0,$UNT$Tie up
str_cfgvehicles_ducttape_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_ducttape_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_ducttape1,"A versatile, strong and flexible wide adhesive tape. If it moves and shouldn't, use duct tape."
str_cfgvehicles_ducttape0,Duct Tape
str_cfgvehicles_chemlight_yellow0,"$UNT$A yellow self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source."
str_cfgvehicles_chemlight_white0,"$UNT$A white self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source."
str_cfgvehicles_chemlight_red0,"$UNT$A red self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source."
str_cfgvehicles_chemlight_green0,"$UNT$A green self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source."
str_cfgvehicles_chemlight_colorbase1,"A self-contained, disposable light-source. Once activated, it cannot be turned off. Useful for location marking in the dark."
str_cfgvehicles_chemlight_colorbase0,Glow Stick
str_cfgvehicles_chemlight_blue0,"$UNT$A blue self-contained, short-term light-source. It consists of a translucent plastic tube containing isolated substances that, when combined, make light through chemiluminescence, so it does not require an external energy source."
str_cfgvehicles_butanecanister1,"$UNT$Convenient for portable gas appliance (cooker, light). Store in a dry area away from heat."
str_cfgvehicles_butanecanister0,$UNT$Butane Canister
str_cfgvehicles_burlapstrip1,"Strips made from a burlap sack. Dirty and fraying at the edges, still useful for camouflage."
str_cfgvehicles_burlapstrip0,Burlap Strips
str_cfgvehicles_bonehook1,$UNT$Improvised fishing hook from a bone.
str_cfgvehicles_bonehook0,$UNT$Bone Fishing Hook
str_cfgvehicles_bonebait1,$UNT$A crafted bait used to attract and catch fish.
str_cfgvehicles_bonebait0,$UNT$Bone Fishing Bait
str_cfgvehicles_bone1,Assorted bones. There's no telling what - or who - they belonged to.
str_cfgvehicles_bone0,Bones
str_cfgvehicles_bearpelt0,$UNT$Skin from a bear.
str_cfgvehicles_batteryd1,"$UNT$Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end."
str_cfgvehicles_batteryd0,$UNT$Alkaline Battery
str_cfgvehicles_battery9v_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_battery9v_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_battery9v1,An alkaline 9V battery. Used for powering various small appliances like flashlights and radio transceivers.
str_cfgvehicles_battery9v0,9V Battery
str_cfgvehicles_bark_oak0,Dark Bark
str_cfgvehicles_bark_colorbase1,$UNT$Big chunk of bark.
str_cfgvehicles_bark_colorbase0,$UNT$Bark
str_cfgvehicles_bark_birch0,Light Bark
str_cfgvehicles_bandana_redpattern0,$UNT$A useful red pattern bandana that could be tied to mask or head cover.
str_cfgvehicles_bandana_polkapattern0,$UNT$A useful polka pattern bandana that could be tied to mask or head cover.
str_cfgvehicles_goatpelt1,Pelt from a goat. Can be tanned for further processing.
str_cfgvehicles_bandana_greenpattern0,$UNT$A useful green pattern bandana that could be tied to mask or head cover.
str_cfgvehicles_bandana_colorbase_useractions_selfbandage1,$UNT$Bandage myself
str_cfgvehicles_bandana_colorbase_useractions_selfbandage0,$UNT$Bandage myself
str_cfgvehicles_bandana_colorbase_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_bandana_colorbase_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_bandana_colorbase_useractions_applybandage1,$UNT$Bandage
str_cfgvehicles_bandana_colorbase_useractions_applybandage0,$UNT$Bandage
str_cfgvehicles_bandana_colorbase1,"A bandana, that can be tied into various headwear."
str_cfgvehicles_bandana_colorbase0,Bandana
str_cfgvehicles_bandana_camopattern0,$UNT$A useful camo pattern bandana that could be tied to mask or head cover.
str_cfgvehicles_bandana_blackpattern0,$UNT$A useful black pattern bandana that could be tied to mask or head cover.
str_cfgvehicles_bait1,$UNT$A bait used to attract and catch fish.
str_cfgvehicles_bait0,$UNT$Fishing Bait
str_cfgvehicles_bark_birch1,Big chunk of light bark. Useful as kindling. Colors the water when submerged.
str_cfgvehicles_bark_oak1,Big chunk of dark bark. Useful as kindling. Colors the water when submerged.
str_cfgvehicles_cowpelt0,Cow Pelt
str_cfgvehicles_cowpelt1,Pelt from cow. Can be tanned for further processing.
str_cfgvehicles_deerpelt0,Deer Pelt
str_cfgvehicles_deerpelt1,Pelt from a deer. Can be tanned for further processing.
str_cfgvehicles_ducttapelocked0,Restrained by Duct Tape
str_cfgvehicles_goatpelt0,Goat Pelt
str_cfgvehicles_pigpelt0,Pig Pelt
str_cfgvehicles_portablegascanister1,Contains butane which is provided to gas-powered camping equipment after attaching it.
str_cfgvehicles_sheeppelt0,Sheep Pelt
str_cfgvehicles_wildboarpelt0,Boar Pelt
str_cfgvehicles_wolfpelt0,Wolf Pelt
str_cfgvehicles_waterproofbag_yellow0,"$UNT$A yellow bag which is 100% waterproof and protects contents from dust, sand, dirt and water."
str_cfgvehicles_waterproofbag_orange0,"$UNT$A orange bag which is 100% waterproof and protects contents from dust, sand, dirt and water."
str_cfgvehicles_waterproofbag_green0,"$UNT$A green bag which is 100% waterproof and protects contents from dust, sand, dirt and water."
str_cfgvehicles_waterproofbag_colorbase1,"Flexible watertight container. Capable of protecting contents from dust, sand, dirt and water."
str_cfgvehicles_waterproofbag_colorbase0,Drysack
str_cfgvehicles_trashcan1,$UNT$Trash Can
str_cfgvehicles_trashcan0,$UNT$Trash Can
str_cfgvehicles_smallprotectorcase1,"A rugged, plastic, airtight container. Very durable, used to protect sensitive gear."
str_cfgvehicles_smallprotectorcase0,Protective Case
str_cfgvehicles_refrigeratorminsk1,$UNT$Power hungry household appliance to prevent your ketchup and sad vegetables from ageing.
str_cfgvehicles_refrigeratorminsk0,$UNT$Minsk refrigerator
str_cfgvehicles_refrigerator1,$UNT$Refrigerator
str_cfgvehicles_refrigerator0,$UNT$Refrigerator
str_cfgvehicles_firstaidkit1,"A textile pouch used to carry and protect first aid kit, mainly from the weather exposure."
str_cfgvehicles_firstaidkit0,First Aid Pouch
str_cfgvehicles_carrierpouches1,Pouches attachable to plate carrier vest. Further increase its carrying capacity.
str_cfgvehicles_carrierpouches0,Pouches
str_cfgvehicles_bear_white0,"$UNT$A cute and cuddly white teddy bear will make your kids happy and warm, they won't be able to resist his hugs."
str_cfgvehicles_bear_pink0,"$UNT$A cute and cuddly pink teddy bear will make your kids happy and warm, they won't be able to resist his hugs."
str_cfgvehicles_bear_dark0,"$UNT$A cute and cuddly dark teddy bear will make your kids happy and warm, they won't be able to resist his hugs."
str_cfgvehicles_bear_colorbase1,"A cuddly teddy bear toy. Even though it's stuffed, it is able to conceal small items, somewhere."
str_cfgvehicles_bear_colorbase0,Teddy Bear
str_cfgvehicles_bear_beige0,"$UNT$A cute and cuddly beige teddy bear will make your kids happy and warm, they won't be able to resist his hugs."
str_cfgvehicles_barrel_yellow0,$UNT$Yellow Oil Barrel
str_cfgvehicles_barrel_red0,$UNT$Red Oil Barrel
str_cfgvehicles_barrel_green0,$UNT$Green Oil Barrel
str_cfgvehicles_barrel_colorbase1,Oil barrel for storing stuff and various liquids in large volumes. Used to catch water or craft things over time.
str_cfgvehicles_barrel_colorbase0,Barrel
str_cfgvehicles_barrel_blue0,$UNT$Blue Oil Barrel
str_cfgvehicles_ammobox1,"A metal storage box. Originally designed for holding ammunition, but can store other things too."
str_cfgvehicles_ammobox0,Ammo Box
str_cfgvehicles_xmasboxsmall0,Small Gift Box
str_attachment_bleachcotton0,Clothes Bleaching
str_cfgvehicles_xmasbox_common1,"A gift box. Usually used to wrap presents, but they have been known to contain loot.


"
str_cfgvehicles_xmasboxmedium0,Medium Gift Box
str_attachment_clothesprocessing0,Clothes Processing
str_cfgvehicles_xmasboxlarge0,Large Gift Box
str_attachment_colorcottonclothes0,Clothes Dyeing
str_attachment_colorleatherclothes0,Leather Dyeing
str_attachment_leatherprocessing0,Leather Processing
str_attachment_tanleather0,Leather Tanning
str_cfgvehicles_tripod1,"A deployable tripod, used to suspend cooking equipment over an open fire."
str_cfgvehicles_tripod0,Campfire Tripod
str_cfgvehicles_pot1,A metal pot. Used for different cooking techniques involving fire. Result depends on ingredients used.
str_cfgvehicles_pot0,Cooking Pot
str_cfgvehicles_portablegasstove1,"A portable stove. Camper's best friend, this handy gas-fueled cooker can be used to prepare a meal anywhere."
str_cfgvehicles_portablegasstove0,Gas Stove
str_cfgvehicles_portablegaslamp1,"A portable lamp running on gas, suitable for camping. It provides enough light to brighten those dark Chernarus nights."
str_cfgvehicles_portablegaslamp0,Gas Lamp
str_cfgvehicles_petrollighter0,$UNT$Petrol Lighter
str_cfgvehicles_fryingpan1,$UNT$A classic frying pan designed to contain food throughout the cooking process. It can be used for your protection in some cases.
str_cfgvehicles_fryingpan0,$UNT$Frying Pan
str_cfgvehicles_fireplaceindoor1,$UNT$Fireplace provides energy for various purposes such as building up heat comfort or cooking foods.
str_cfgvehicles_fireplaceindoor0,$UNT$Fireplace (indoor)
str_cfgvehicles_fireplace1,"Fireplace provides heat for various purposes, such as cooking food, building up thermal comfort, or drying clothes."
str_cfgvehicles_fireplace0,Fireplace
str_cfgvehicles_cluttercutterfireplace0,$UNT$Fireplace Clutter Cutter
str_cfgvehicles_candle1,$UNT$Candle.
str_cfgvehicles_candle0,$UNT$Candle
str_cfgvehicles_barrelholes_yellow0,$UNT$A yellow barrel with holes in it. It can be used like heat source in some cases.
str_cfgvehicles_barrelholes_red0,$UNT$A red barrel with holes in it. It can be used like heat source in some cases.
str_cfgvehicles_barrelholes_green0,$UNT$A green barrel with holes in it. It can be used like heat source in some cases.
str_cfgvehicles_barrelholes_colorbase1,"An oil barrel with holes in it. Still holds up as storage for solid items, it's mainly used as a vessel, in which a fire can be made."
str_cfgvehicles_barrelholes_colorbase0,Fire Barrel
str_cfgvehicles_barrelholes_blue0,$UNT$A blue barrel with holes in it. It can be used like heat source in some cases.
str_attachment_ashes0,Ashes
str_attachment_cookingequipment0,Cooking equipment
str_attachment_fuel0,Fuel
str_attachment_kindling0,Kindling
str_attachment_upgrade0,Upgrade
str_cfgvehicles_woodenstick1,"Multipurpose piece of wood. Ideal for setting traps, construction purposes, feeding a fire, fixing a fracture and more."
str_cfgvehicles_woodenstick0,Short Stick
str_cfgvehicles_torch_useractions_lighttorch1,$UNT$USER ACTION Light Torch
str_cfgvehicles_torch_useractions_lighttorch0,$UNT$USER ACTION Light Torch
str_cfgvehicles_torch1,"Hand-crafted torch. Made from old rags and wooden sticks with pitch, this crude light source becomes invaluable at night."
str_cfgvehicles_torch0,Torch
str_cfgvehicles_spear1,"Made from a long stick and a bone shard, this spear is surprisingly sharp and durable. Good for defense or hunting."
str_cfgvehicles_spear0,Spear
str_cfgvehicles_rope_useractions_restraintarget1,$UNT$Tie up
str_cfgvehicles_rope_useractions_restraintarget0,$UNT$Tie up
str_cfgvehicles_rope_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_rope_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_rope1,"Strong rope, used to tie stuff together, be it things or people. "
str_cfgvehicles_rope0,Rope
str_cfgvehicles_metalwire1,"A roll of strong metal wire. Has many uses, from conductors, to trap crafting, to makeshift handcuffs, a metal wire can do it all, and more."
str_cfgvehicles_metalwire0,Metal Wire
str_cfgvehicles_longwoodenstick1,"A firm but flexible wooden stick. Can be split further, used for cooking or creating tools."
str_cfgvehicles_longwoodenstick0,Long Stick
str_cfgvehicles_improvisedrope_useractions_restraintarget1,$UNT$Tie up
str_cfgvehicles_improvisedrope_useractions_restraintarget0,$UNT$Tie up
str_cfgvehicles_improvisedrope_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_improvisedrope_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_improvisedrope1,$UNT$Improvised rope crafted from thin stripes of rags tied together.
str_cfgvehicles_improvisedrope0,$UNT$Improvised Rope
str_cfgvehicles_handdrillkit1,"Simple hand drill kit. Can be used to start a fire, when both it and the fuel are dry."
str_cfgvehicles_handdrillkit0,Hand Drill Kit
str_cfgvehicles_gorkahelmetvisor1,"Face shield with double polycarbonate glass, adds protection for the face when attached to the Assault Helmet."
str_cfgvehicles_gorkahelmetvisor0,Assault Helmet Visor
str_cfgvehicles_chickenfeather1,"$UNT$Hundreds of these would probably make a comfortable pillow, one of these makes an nice arrow."
str_cfgvehicles_chickenfeather0,$UNT$Chicken Feather
str_cfgvehicles_burlapsack_useractions_covertargethead1,$UNT$$STR_USERACTIONS_COVERHEAD
str_cfgvehicles_burlapsack_useractions_covertargethead0,$UNT$$STR_USERACTIONS_COVERHEAD
str_cfgvehicles_burlapsack_useractions_coverselfhead1,$UNT$$STR_USERACTIONS_COVEROWNHEAD
str_cfgvehicles_burlapsack_useractions_coverselfhead0,$UNT$$STR_USERACTIONS_COVEROWNHEAD
str_cfgvehicles_burlapsack_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_burlapsack_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_burlapsack1,"A rough sack made from burlap. Can be used as a makeshift blindfold, or cut into strips to create other things."
str_cfgvehicles_burlapsack0,Burlap Sack
STR_CfgVehicles_MetalWireLocked0,Restrained by Metal Wire
str_cfgvehicles_ropelocked0,Restrained by Rope
str_cfgvehicles_zucchiniseedspack_useractions_emptypack1,$UNT$Empty the pack
str_cfgvehicles_zucchiniseedspack_useractions_emptypack0,$UNT$Empty the pack
str_cfgvehicles_zucchiniseedspack1,A package of zucchini seeds.
str_cfgvehicles_zucchiniseedspack0,Packed Zucchini Seeds
str_cfgvehicles_zucchiniseeds1,"These seeds, if planted in the ground and given some loving care, will grow into zucchini plants."
str_cfgvehicles_zucchiniseeds0,Zucchini Seeds
str_cfgvehicles_tomatoseedspack_useractions_emptypack1,$UNT$Empty the pack
str_cfgvehicles_tomatoseedspack_useractions_emptypack0,$UNT$Empty the pack
str_cfgvehicles_tomatoseedspack1,A package of tomato seeds.
str_cfgvehicles_tomatoseedspack0,Packed Tomato Seeds
str_cfgvehicles_tomatoseeds1,"These seeds, if planted in the ground and given some loving care, will grow into tomato plants."
str_cfgvehicles_tomatoseeds0,Tomato Seeds
str_cfgvehicles_pumpkinseedspack_useractions_emptypack1,$UNT$Empty the pack
str_cfgvehicles_pumpkinseedspack_useractions_emptypack0,$UNT$Empty the pack
str_cfgvehicles_pumpkinseedspack1,A package of pumpkin seeds.
str_cfgvehicles_pumpkinseedspack0,Packed Pumpkin Seeds
str_cfgvehicles_pumpkinseeds1,"These seeds, if planted in the ground and given some loving care, will grow into more pumpkins. Yay!"
str_cfgvehicles_pumpkinseeds0,Pumpkin Seeds
str_cfgvehicles_plantmaterial1,"Various pieces of plants, nature's simplest fertilizer. Makes gardening simpler and things greener."
str_cfgvehicles_plantmaterial0,Plant Material
str_cfgvehicles_pepperseedspack_useractions_emptypack1,$UNT$Empty the pack
str_cfgvehicles_pepperseedspack_useractions_emptypack0,$UNT$Empty the pack
str_cfgvehicles_pepperseedspack1,A package of pepper seeds.
str_cfgvehicles_pepperseedspack0,Packed Pepper Seeds
str_cfgvehicles_pepperseeds1,"These seeds, if planted in the ground and given some loving care, will grow into pepper plants."
str_cfgvehicles_pepperseeds0,Pepper Seeds
str_cfgvehicles_particletest1,$UNT$particle test.
str_cfgvehicles_particletest0,$UNT$particle test
str_cfgvehicles_cluttercutter6x60,$UNT$Clutter Cutter 3x3
str_cfgvehicles_cluttercutter2x20,$UNT$Clutter Cutter 3x3
str_cfgvehicles_cannabisseedspack_useractions_emptypack1,$UNT$Empty the pack
str_cfgvehicles_cannabisseedspack_useractions_emptypack0,$UNT$Empty the pack
str_cfgvehicles_cannabisseedspack1,$UNT$A pack of cannabis seeds.
str_cfgvehicles_cannabisseedspack0,$UNT$Cannabis Seeds Pack
str_cfgvehicles_cannabisseeds1,"$UNT$Cannabis seeds, ready to be planted to grow cannabis plant."
str_cfgvehicles_cannabisseeds0,$UNT$Cannabis Seeds
str_cfgvehicles_antipestsspray_useractions_forcedrink1,$UNT$$STR_USERACTIONS_FORCEDRINK
str_cfgvehicles_antipestsspray_useractions_forcedrink0,$UNT$$STR_USERACTIONS_FORCEDRINK
str_cfgvehicles_antipestsspray_useractions_consume1,$UNT$$STR_USERACTIONS_DRINK
str_cfgvehicles_antipestsspray_useractions_consume0,$UNT$$STR_USERACTIONS_DRINK
str_cfgvehicles_antipestsspray_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_antipestsspray_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_antipestsspray1,Protects plants and their crops and easily deals with their infestation of insects. 
str_cfgvehicles_antipestsspray0,Insecticide Spray
str_cfgvehicles_compost0,Compost
str_cfgvehicles_compost1,"Compost made from organic remains. Rich in nutrients, can be used to fertilize soil."
str_cfgvehicles_wellwater_useractions_cancelaction1,$UNT$Cancel current action
str_cfgvehicles_wellwater_useractions_cancelaction0,$UNT$Cancel current action
str_cfgvehicles_waterpouch_natural0,$UNT$Water pouch crafted from tanned leather. The water may have come from a water source nearby.
str_cfgvehicles_waterpouch_colorbase1,A pouch sewn from tanned leather. Made watertight to allow for carrying of various liquids.
